# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/prng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,5568,6485551435170465117,235.65,464,1,235.65,464.0,100.0,1
2,6000,971695362467996196,-62.04,500,0,86.81,482.0,50.0,2
3,6000,4722055102353018575,-81.66,500,0,30.65,488.0,33.3,3
4,6000,9416705256328773456,-99.39,500,0,-1.86,491.0,25.0,4
5,6000,18209816042987392921,-83.36,500,0,-18.16,492.8,20.0,5
6,6000,12249684362543296198,-8.52,500,0,-16.55,494.0,16.7,6
7,6000,18439256158492860165,-71.13,500,0,-24.35,494.9,14.3,7
8,6000,3434422392642176074,-50.01,500,0,-27.56,495.5,12.5,8
9,6000,5935988960942181436,-86.59,500,0,-34.12,496.0,11.1,9
10,6000,13288998900360654768,-80.25,500,0,-38.73,496.4,10.0,10
11,6000,7222146671798848202,-83.96,500,0,-42.84,496.7,9.1,11
12,6000,1925203196787626386,-135.18,500,0,-50.54,497.0,8.3,12
13,11568,13234536202907338590,-45.43,500,0,-50.14,497.2,7.7,13
14,12000,12791249090344812902,-83.60,500,0,-52.53,497.4,7.1,14
15,12000,16271330311358250483,-9.78,500,0,-49.68,497.6,6.7,15
16,12000,16216597592657657882,-72.08,500,0,-51.08,497.8,6.2,16
17,12000,15166214502129994831,6.87,500,0,-47.67,497.9,5.9,17
18,12000,3950739390256855190,-61.48,500,0,-48.44,498.0,5.6,18
19,12000,15572436679927626994,-82.40,500,0,-50.23,498.1,5.3,19
20,12000,12100722552882805080,-76.42,500,0,-51.54,498.2,5.0,20
21,12000,5422312673772011359,-1.20,500,0,-49.14,498.3,4.8,21
22,12000,15003482508471731330,-111.97,500,0,-52.00,498.4,4.5,22
23,12000,18177451362958227695,-61.07,500,0,-52.39,498.4,4.3,23
24,12000,14776073749056768426,-54.15,500,0,-52.46,498.5,4.2,24
25,17568,7530588993633936101,-28.06,500,0,-51.49,498.6,4.0,25
26,18000,15876696128150197177,-67.95,500,0,-52.12,498.6,3.8,26
27,18000,16643051670238393758,49.26,500,0,-48.37,498.7,3.7,27
28,18000,13750942603707172542,11.82,500,0,-46.22,498.7,3.6,28
29,18000,8323620824426157167,74.22,500,0,-42.06,498.8,3.4,29
30,18000,12974784844508741856,-97.20,500,0,-43.90,498.8,3.3,30
31,18000,3946675017130034155,-31.76,500,0,-43.51,498.8,3.2,31
32,18000,10235953528359856589,43.39,500,0,-40.79,498.9,3.1,32
33,18000,13148765069588439864,-43.89,500,0,-40.89,498.9,3.0,33
34,18000,7831641672757584953,-9.58,500,0,-39.97,498.9,2.9,34
35,18000,8586445825670029330,88.58,500,0,-36.29,499.0,2.9,35
36,18000,4008522060595671513,-64.21,500,0,-37.07,499.0,2.8,36
37,23568,5088815643279426220,24.50,500,0,-35.41,499.0,2.7,37
38,24000,16758003372029569070,184.07,500,0,-29.63,499.1,2.6,38
