# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/qrng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,5856,6550599649586689508,233.40,488,1,233.40,488.0,100.0,1
2,6000,13489725472828908841,-48.87,500,0,92.26,494.0,50.0,2
3,6000,6171947649416591322,-58.51,500,0,42.01,496.0,33.3,3
4,6000,15248021848742551826,-95.85,500,0,7.54,497.0,25.0,4
5,6000,3024614475431424903,-31.73,500,0,-0.31,497.6,20.0,5
6,6000,8421032824675649285,-67.47,500,0,-11.51,498.0,16.7,6
7,6000,137743098416772409,-99.19,500,0,-24.03,498.3,14.3,7
8,6000,10825776799651039450,-61.12,500,0,-28.67,498.5,12.5,8
9,6000,10673939618093821046,-99.17,500,0,-36.50,498.7,11.1,9
10,6000,3033551743436537089,-103.23,500,0,-43.17,498.8,10.0,10
11,6000,13100570903668117029,-103.23,500,0,-48.63,498.9,9.1,11
12,6000,13460545218872008355,-49.52,500,0,-48.71,499.0,8.3,12
13,11856,6001182031169597924,-37.47,500,0,-47.84,499.1,7.7,13
14,12000,4535469543323143118,-30.71,500,0,-46.62,499.1,7.1,14
15,12000,7963437600900595466,-82.38,500,0,-49.00,499.2,6.7,15
16,12000,4613197450636686963,-77.23,500,0,-50.77,499.2,6.2,16
17,12000,13145616319605486461,-101.36,500,0,-53.74,499.3,5.9,17
18,12000,8732497094669464261,-48.64,500,0,-53.46,499.3,5.6,18
19,12000,10754664279746954151,2.74,500,0,-50.50,499.4,5.3,19
20,12000,7305357861771059007,-47.06,500,0,-50.33,499.4,5.0,20
21,12000,1043968853803077998,-75.56,500,0,-51.53,499.4,4.8,21
22,12000,3431877959751719732,-31.49,500,0,-50.62,499.5,4.5,22
23,12000,4858779513777518555,-54.51,500,0,-50.79,499.5,4.3,23
24,12000,12934048555403895870,-66.71,500,0,-51.45,499.5,4.2,24
25,14580,15336730116398655285,317.67,215,1,-36.69,488.1,8.0,25
26,17856,6487450829014363214,42.05,500,0,-33.66,488.6,7.7,26
27,18000,16112388300639988501,-47.61,500,0,-34.18,489.0,7.4,27
28,18000,17875627648110973066,-39.12,500,0,-34.35,489.4,7.1,28
29,18000,7127552978843871313,4.02,500,0,-33.03,489.8,6.9,29
30,18000,4510579620332624255,6.93,500,0,-31.70,490.1,6.7,30
31,18000,4529180109597153941,-80.64,500,0,-33.28,490.4,6.5,31
32,18000,3158158378977722743,57.94,500,0,-30.43,490.7,6.2,32
33,18000,12396094131003682828,-44.60,500,0,-30.85,491.0,6.1,33
34,18000,17610203196594821702,-30.67,500,0,-30.85,491.3,5.9,34
35,18000,11235206640686777757,-29.26,500,0,-30.80,491.5,5.7,35
36,18000,811813770382393753,-33.23,500,0,-30.87,491.8,5.6,36
37,20580,1623035611873735355,24.71,500,0,-29.37,492.0,5.4,37
38,23856,9186765785496463054,-10.82,500,0,-28.88,492.2,5.3,38
39,24000,14446539011501570785,15.78,500,0,-27.74,492.4,5.1,39
