# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/prng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,971695362467996196,-42.47,500,0,-42.47,500.0,0.0,1
2,6000,4722055102353018575,-46.74,500,0,-44.61,500.0,0.0,2
3,6000,9416705256328773456,-100.61,500,0,-63.27,500.0,0.0,3
4,6000,18209816042987392921,-71.36,500,0,-65.30,500.0,0.0,4
5,6000,12249684362543296198,-59.03,500,0,-64.04,500.0,0.0,5
6,6000,18439256158492860165,-95.02,500,0,-69.20,500.0,0.0,6
7,6000,3434422392642176074,-120.73,500,0,-76.57,500.0,0.0,7
8,6000,5935988960942181436,-82.10,500,0,-77.26,500.0,0.0,8
9,6000,13288998900360654768,-78.80,500,0,-77.43,500.0,0.0,9
10,6000,6485551435170465117,-71.55,500,0,-76.84,500.0,0.0,10
11,6000,7222146671798848202,-89.49,500,0,-77.99,500.0,0.0,11
12,6000,1925203196787626386,-125.67,500,0,-81.96,500.0,0.0,12
13,12000,12791249090344812902,-84.60,500,0,-82.17,500.0,0.0,13
14,12000,16271330311358250483,-12.58,500,0,-77.20,500.0,0.0,14
15,12000,16216597592657657882,-42.73,500,0,-74.90,500.0,0.0,15
16,12000,15166214502129994831,-35.30,500,0,-72.42,500.0,0.0,16
17,12000,3950739390256855190,-19.57,500,0,-69.31,500.0,0.0,17
18,12000,15572436679927626994,-6.79,500,0,-65.84,500.0,0.0,18
19,12000,12100722552882805080,-123.34,500,0,-68.87,500.0,0.0,19
20,12000,5422312673772011359,-38.44,500,0,-67.35,500.0,0.0,20
21,12000,15003482508471731330,-127.82,500,0,-70.22,500.0,0.0,21
22,12000,13234536202907338590,33.82,500,0,-65.50,500.0,0.0,22
23,12000,18177451362958227695,-106.67,500,0,-67.29,500.0,0.0,23
24,12000,14776073749056768426,-23.21,500,0,-65.45,500.0,0.0,24
25,18000,15876696128150197177,60.98,500,0,-60.39,500.0,0.0,25
26,18000,16643051670238393758,88.18,500,0,-54.68,500.0,0.0,26
27,18000,13750942603707172542,-26.49,500,0,-53.63,500.0,0.0,27
28,18000,8323620824426157167,64.06,500,0,-49.43,500.0,0.0,28
29,18000,12974784844508741856,51.76,500,0,-45.94,500.0,0.0,29
30,18000,3946675017130034155,-45.92,500,0,-45.94,500.0,0.0,30
31,18000,10235953528359856589,84.74,500,0,-41.73,500.0,0.0,31
32,18000,13148765069588439864,-132.15,500,0,-44.55,500.0,0.0,32
33,18000,7831641672757584953,44.37,500,0,-41.86,500.0,0.0,33
34,18000,7530588993633936101,-16.18,500,0,-41.10,500.0,0.0,34
35,18000,8586445825670029330,37.54,500,0,-38.85,500.0,0.0,35
36,18000,4008522060595671513,-93.38,500,0,-40.37,500.0,0.0,36
37,24000,16758003372029569070,156.88,500,0,-35.04,500.0,0.0,37
38,24000,7123441938980902944,-104.03,500,0,-36.85,500.0,0.0,38
39,24000,1123201832056615056,19.24,500,0,-35.42,500.0,0.0,39
40,24000,9827564118592775222,-94.97,500,0,-36.90,500.0,0.0,40
41,24000,4949356209468868854,35.11,500,0,-35.15,500.0,0.0,41
42,24000,14563005126951685001,-11.99,500,0,-34.60,500.0,0.0,42
43,24000,16499621993911982051,-35.64,500,0,-34.62,500.0,0.0,43
44,24000,15569156720587463771,-68.21,500,0,-35.38,500.0,0.0,44
45,24000,17029012220414423703,4.27,500,0,-34.50,500.0,0.0,45
46,24000,5088815643279426220,9.47,500,0,-33.55,500.0,0.0,46
47,24000,10303707910544264367,-49.82,500,0,-33.89,500.0,0.0,47
48,24000,17938581618549075914,5.86,500,0,-33.06,500.0,0.0,48
49,30000,5958682710742231644,110.95,500,0,-30.13,500.0,0.0,49
50,30000,13152133416350454799,108.13,500,0,-27.36,500.0,0.0,50
51,30000,5956481133054387399,163.41,500,0,-23.62,500.0,0.0,51
52,30000,5420683628343198450,105.17,500,0,-21.14,500.0,0.0,52
53,30000,15922419184530991241,133.04,500,0,-18.23,500.0,0.0,53
54,30000,18020233497698300673,127.28,500,0,-15.54,500.0,0.0,54
55,30000,17338635869069036976,95.63,500,0,-13.52,500.0,0.0,55
56,30000,1792464209987715186,19.76,500,0,-12.92,500.0,0.0,56
57,30000,13280943330434515189,156.33,500,0,-9.95,500.0,0.0,57
58,30000,13831009015536520439,117.62,500,0,-7.75,500.0,0.0,58
59,30000,3332503742376185548,175.90,500,0,-4.64,500.0,0.0,59
60,30000,11580923707428295608,124.40,500,0,-2.49,500.0,0.0,60
61,36000,10552593266273712147,99.01,500,0,-0.83,500.0,0.0,61
62,36000,5779138346327290062,32.90,500,0,-0.28,500.0,0.0,62
63,36000,18414115309215937601,189.15,500,0,2.72,500.0,0.0,63
64,36000,11602112522636337744,155.47,500,0,5.11,500.0,0.0,64
65,36000,12339132143176000527,26.23,500,0,5.44,500.0,0.0,65
66,36000,213708382150317922,135.27,500,0,7.40,500.0,0.0,66
67,36000,14829927916230554584,122.79,500,0,9.12,500.0,0.0,67
68,36000,14548106134457597795,177.70,500,0,11.60,500.0,0.0,68
69,36000,2846928131416613503,168.38,500,0,13.88,500.0,0.0,69
70,36000,465757753863619753,152.00,500,0,15.85,500.0,0.0,70
71,36000,7817989525139000696,32.26,500,0,16.08,500.0,0.0,71
72,36000,3798088039377853321,182.26,500,0,18.39,500.0,0.0,72
73,42000,9484487052667551156,188.67,500,0,20.72,500.0,0.0,73
74,42000,12236126824530621385,157.49,500,0,22.57,500.0,0.0,74
75,42000,855184622356068571,98.98,500,0,23.59,500.0,0.0,75
76,42000,15834972196773435646,134.24,500,0,25.04,500.0,0.0,76
77,42000,12408935994070282962,80.33,500,0,25.76,500.0,0.0,77
78,42000,11981284399029439191,172.57,500,0,27.64,500.0,0.0,78
79,42000,3207301218311601108,75.55,500,0,28.25,500.0,0.0,79
80,42000,7965682761333498567,159.01,500,0,29.89,500.0,0.0,80
81,42000,13630246432225533946,184.50,500,0,31.79,500.0,0.0,81
82,42000,8124476620977914609,78.36,500,0,32.36,500.0,0.0,82
83,42000,17151581682957684717,160.26,500,0,33.90,500.0,0.0,83
84,42000,5203642081824491887,98.88,500,0,34.68,500.0,0.0,84
85,48000,1282154305957738864,184.85,500,0,36.44,500.0,0.0,85
86,48000,12864811954472004187,80.67,500,0,36.96,500.0,0.0,86
87,48000,13048294551188987203,131.03,500,0,38.04,500.0,0.0,87
88,48000,17077070056391960068,182.24,500,0,39.68,500.0,0.0,88
89,48000,14587187658110522263,153.53,500,0,40.96,500.0,0.0,89
90,48000,11033758505807755380,184.11,500,0,42.55,500.0,0.0,90
91,48000,10027974101905967125,162.83,500,0,43.87,500.0,0.0,91
92,48000,13682009770390657341,168.44,500,0,45.22,500.0,0.0,92
93,48000,15313979806885385665,209.91,500,0,46.99,500.0,0.0,93
94,48000,6513211260447073981,90.18,500,0,47.45,500.0,0.0,94
95,48000,16679140763471176525,99.72,500,0,48.00,500.0,0.0,95
96,48000,15609030911540769314,214.79,500,0,49.74,500.0,0.0,96
97,54000,12213021893741313679,185.15,500,0,51.14,500.0,0.0,97
98,54000,11837311832849461841,170.06,500,0,52.35,500.0,0.0,98
99,54000,782797373716506053,120.64,500,0,53.04,500.0,0.0,99
100,54000,4608807299216813642,132.03,500,0,53.83,500.0,0.0,100
101,54000,7064522463759185187,175.43,500,0,56.01,500.0,0.0,101
102,54000,5758638161781062089,188.78,500,0,58.36,500.0,0.0,102
103,54000,712942329043169505,135.48,500,0,60.73,500.0,0.0,103
104,54000,2576126327835236319,133.29,500,0,62.77,500.0,0.0,104
105,54000,5509031414646806880,172.57,500,0,65.09,500.0,0.0,105
106,54000,16008602730533986715,144.35,500,0,67.48,500.0,0.0,106
107,54000,7579020158697526728,131.71,500,0,70.01,500.0,0.0,107
108,54000,3599934932040823406,168.27,500,0,72.51,500.0,0.0,108
109,60000,2614885943062049209,144.93,500,0,74.75,500.0,0.0,109
110,60000,16652202415099116449,127.26,500,0,76.74,500.0,0.0,110
111,60000,484746555860799563,186.92,500,0,79.50,500.0,0.0,111
112,60000,5358669490539477174,176.95,500,0,82.53,500.0,0.0,112
113,60000,13603683912950228237,145.55,500,0,84.83,500.0,0.0,113
114,60000,17754636440003173832,161.28,500,0,86.57,500.0,0.0,114
115,60000,15597545835739069363,169.68,500,0,88.69,500.0,0.0,115
116,60000,14446922329932930499,187.58,500,0,90.92,500.0,0.0,116
117,60000,15286495790288296836,170.38,500,0,92.82,500.0,0.0,117
118,60000,1822406028880233841,161.54,500,0,94.50,500.0,0.0,118
119,60000,2068324999780398490,162.91,500,0,97.36,500.0,0.0,119
120,60000,6556398741343982540,168.27,500,0,99.43,500.0,0.0,120
121,66000,6007962926376958784,148.56,500,0,102.20,500.0,0.0,121
122,66000,11772033390765120368,126.66,500,0,103.12,500.0,0.0,122
123,66000,11386224682222168824,185.55,500,0,106.05,500.0,0.0,123
124,66000,1673405974479577669,158.67,500,0,107.86,500.0,0.0,124
125,66000,3086105054130143535,195.52,500,0,109.21,500.0,0.0,125
126,66000,2431630388173978107,174.68,500,0,110.08,500.0,0.0,126
127,66000,3062227234649023154,147.12,500,0,111.81,500.0,0.0,127
128,66000,5508625069366463439,174.76,500,0,112.92,500.0,0.0,128
129,66000,13343558022438364849,180.93,500,0,114.21,500.0,0.0,129
130,66000,2667181007669166969,187.22,500,0,116.54,500.0,0.0,130
131,66000,5704457579094725897,174.76,500,0,117.44,500.0,0.0,131
132,66000,11506781255942393700,171.13,500,0,120.47,500.0,0.0,132
133,72000,14667186405778776284,191.78,500,0,121.95,500.0,0.0,133
134,72000,11785449503610959281,150.31,500,0,123.61,500.0,0.0,134
135,72000,13200508905706887070,180.03,500,0,125.04,500.0,0.0,135
136,72000,10554285898027426619,195.92,500,0,127.93,500.0,0.0,136
137,72000,703561689681588077,181.92,500,0,128.18,500.0,0.0,137
138,72000,4389264617890311094,170.79,500,0,130.93,500.0,0.0,138
139,72000,1817520515872623330,154.31,500,0,132.28,500.0,0.0,139
140,72000,8711977674202065377,161.02,500,0,134.84,500.0,0.0,140
141,72000,8755589707850732707,194.07,500,0,136.43,500.0,0.0,141
142,72000,4075634707342892760,182.70,500,0,138.38,500.0,0.0,142
143,72000,7677270297744983237,207.31,500,0,140.81,500.0,0.0,143
144,72000,7792615375401478573,176.49,500,0,143.25,500.0,0.0,144
145,78000,7053828701869708631,182.07,500,0,145.03,500.0,0.0,145
146,78000,971695362467996196,209.02,500,0,147.03,500.0,0.0,145
147,78000,4722055102353018575,178.32,500,0,149.31,500.0,0.0,145
148,78000,9416705256328773456,169.64,500,0,150.95,500.0,0.0,145
149,78000,18209816042987392921,160.26,500,0,151.44,500.0,0.0,145
150,78000,12249684362543296198,183.28,500,0,152.19,500.0,0.0,145
151,78000,18439256158492860165,182.62,500,0,152.38,500.0,0.0,145
152,78000,3434422392642176074,171.83,500,0,153.05,500.0,0.0,145
153,78000,5935988960942181436,184.59,500,0,153.57,500.0,0.0,145
154,78000,13288998900360654768,176.79,500,0,154.06,500.0,0.0,145
155,78000,6485551435170465117,172.49,500,0,154.83,500.0,0.0,145
156,78000,7222146671798848202,166.00,500,0,156.29,500.0,0.0,145
157,84000,4313685519905263040,165.34,500,0,156.38,500.0,0.0,146
158,84000,12791249090344812902,199.05,500,0,157.20,500.0,0.0,146
159,84000,16271330311358250483,215.38,500,0,157.59,500.0,0.0,146
160,84000,16216597592657657882,181.69,500,0,158.16,500.0,0.0,146
161,84000,15166214502129994831,174.76,500,0,158.92,500.0,0.0,146
162,84000,3950739390256855190,189.77,500,0,160.49,500.0,0.0,146
163,84000,15572436679927626994,175.27,500,0,160.35,500.0,0.0,146
164,84000,12100722552882805080,163.89,500,0,160.44,500.0,0.0,146
165,84000,5422312673772011359,170.51,500,0,161.88,500.0,0.0,146
