# Seed CSV: /Users/angelobaricante/CS-Thesis-Model-Training/seeds/qrng_seeds.csv
# NOTE: A2C Training - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,13489725472828908841,-53.26,500,0,-53.26,500.0,0.0,1
2,6000,6171947649416591322,-105.20,500,0,-79.23,500.0,0.0,2
3,6000,15248021848742551826,-73.35,500,0,-77.27,500.0,0.0,3
4,6000,3024614475431424903,-47.31,500,0,-69.78,500.0,0.0,4
5,6000,8421032824675649285,-81.21,500,0,-72.06,500.0,0.0,5
6,6000,137743098416772409,-87.25,500,0,-74.60,500.0,0.0,6
7,6000,10825776799651039450,-79.52,500,0,-75.30,500.0,0.0,7
8,6000,6550599649586689508,-38.04,500,0,-70.64,500.0,0.0,8
9,6000,10673939618093821046,-149.54,500,0,-79.41,500.0,0.0,9
10,6000,3033551743436537089,-116.77,500,0,-83.14,500.0,0.0,10
11,6000,13100570903668117029,-84.97,500,0,-83.31,500.0,0.0,11
12,6000,13460545218872008355,-60.23,500,0,-81.39,500.0,0.0,12
13,10008,1043968853803077998,271.56,334,1,-54.24,487.2,7.7,13
14,12000,4535469543323143118,-41.66,500,0,-53.34,488.1,7.1,14
15,12000,7963437600900595466,-83.44,500,0,-55.34,488.9,6.7,15
16,12000,4613197450636686963,-62.68,500,0,-55.80,489.6,6.2,16
17,12000,13145616319605486461,-41.25,500,0,-54.95,490.2,5.9,17
18,12000,8732497094669464261,-48.84,500,0,-54.61,490.8,5.6,18
19,12000,10754664279746954151,-45.04,500,0,-54.10,491.3,5.3,19
20,12000,7305357861771059007,-81.31,500,0,-55.46,491.7,5.0,20
21,12000,6001182031169597924,-1.87,500,0,-52.91,492.1,4.8,21
22,12000,3431877959751719732,-24.52,500,0,-51.62,492.5,4.5,22
23,12000,4858779513777518555,-51.42,500,0,-51.61,492.8,4.3,23
24,12000,12934048555403895870,-59.96,500,0,-51.96,493.1,4.2,24
25,16008,12396094131003682828,-38.27,500,0,-51.41,493.4,4.0,25
26,18000,16112388300639988501,-27.80,500,0,-50.51,493.6,3.8,26
27,18000,15336730116398655285,13.70,500,0,-48.13,493.9,3.7,27
28,18000,17875627648110973066,-15.05,500,0,-46.95,494.1,3.6,28
29,18000,7127552978843871313,52.19,500,0,-43.53,494.3,3.4,29
30,18000,4510579620332624255,57.87,500,0,-40.15,494.5,3.3,30
31,18000,4529180109597153941,-56.81,500,0,-40.69,494.6,3.2,31
32,18000,3158158378977722743,84.08,500,0,-36.79,494.8,3.1,32
33,18000,6487450829014363214,137.04,500,0,-31.52,495.0,3.0,33
34,18000,17610203196594821702,-49.98,500,0,-32.06,495.1,2.9,34
35,18000,11235206640686777757,6.08,500,0,-30.97,495.3,2.9,35
36,18000,811813770382393753,-15.09,500,0,-30.53,495.4,2.8,36
37,22008,15528842599978318346,27.29,500,0,-28.97,495.5,2.7,37
38,24000,14446539011501570785,15.78,500,0,-27.79,495.6,2.6,38
39,24000,1623035611873735355,109.85,500,0,-24.26,495.7,2.6,39
40,24000,3677812005404074580,102.15,500,0,-21.10,495.9,2.5,40
41,24000,4162563293777859714,131.81,500,0,-17.37,496.0,2.4,41
42,24000,13970664724812757927,93.55,500,0,-14.73,496.0,2.4,42
43,24000,5795407478338048581,145.95,500,0,-10.99,496.1,2.3,43
44,24000,5438062045018060513,180.68,500,0,-6.64,496.2,2.3,44
45,24000,9186765785496463054,3.91,500,0,-6.40,496.3,2.2,45
46,24000,12850146721234923910,-17.33,500,0,-6.64,496.4,2.2,46
47,24000,9889681733023020709,99.15,500,0,-4.39,496.5,2.1,47
48,24000,9958069282142524715,65.38,500,0,-2.94,496.5,2.1,48
49,28008,11452373918019542496,13.75,500,0,-2.59,496.6,2.0,49
50,30000,9564608022071936158,160.89,500,0,0.67,496.7,2.0,50
51,30000,18283032215131063166,8.55,500,0,0.83,496.7,2.0,51
52,30000,1179935533135775049,18.83,500,0,1.18,496.8,1.9,52
53,30000,9114864688611525715,161.59,500,0,4.20,496.9,1.9,53
54,30000,14904089564820360810,149.17,500,0,6.89,496.9,1.9,54
55,30000,17350772336963884912,13.45,500,0,7.01,497.0,1.8,55
56,30000,11050591303953411250,170.43,500,0,9.92,497.0,1.8,56
57,30000,7583682702758548915,161.37,500,0,12.58,497.1,1.8,57
58,30000,3390217654545902577,162.37,500,0,15.16,497.1,1.7,58
59,30000,15241124315464294844,13.31,500,0,15.13,497.2,1.7,59
60,30000,7663922228771831772,-3.55,500,0,14.82,497.2,1.7,60
61,34008,10044960970903465745,79.17,500,0,15.88,497.3,1.6,61
62,36000,13453077023078328898,129.62,500,0,17.71,497.3,1.6,62
63,36000,4439031506494153421,182.00,500,0,20.32,497.4,1.6,63
64,36000,301641859563699251,153.02,500,0,22.39,497.4,1.6,64
