# Seed CSV: C:\Users\Aurick\Documents\COLLEGE\code\CS-Thesis-Model-Training\seeds\prng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,971695362467996196,-72.13,500,0,-72.13,500.0,0.0,1
2,6000,4722055102353018575,-77.35,500,0,-74.74,500.0,0.0,2
3,6000,9416705256328773456,-76.51,500,0,-75.33,500.0,0.0,3
4,6000,18209816042987392921,-94.74,500,0,-80.18,500.0,0.0,4
5,6000,12249684362543296198,-109.74,500,0,-86.09,500.0,0.0,5
6,6000,18439256158492860165,-103.93,500,0,-89.07,500.0,0.0,6
7,6000,3434422392642176074,-121.95,500,0,-93.76,500.0,0.0,7
8,6000,5935988960942181436,-79.59,500,0,-91.99,500.0,0.0,8
9,6000,13288998900360654768,-79.18,500,0,-90.57,500.0,0.0,9
10,6000,6485551435170465117,-45.66,500,0,-86.08,500.0,0.0,10
11,6000,7222146671798848202,-68.61,500,0,-84.49,500.0,0.0,11
12,6000,1925203196787626386,-85.77,500,0,-84.60,500.0,0.0,12
13,12000,12791249090344812902,-90.25,500,0,-85.03,500.0,0.0,13
14,12000,16271330311358250483,-79.53,500,0,-84.64,500.0,0.0,14
15,12000,16216597592657657882,-86.19,500,0,-84.74,500.0,0.0,15
16,12000,15166214502129994831,-93.52,500,0,-85.29,500.0,0.0,16
17,12000,3950739390256855190,-65.83,500,0,-84.14,500.0,0.0,17
18,12000,15572436679927626994,-68.81,500,0,-83.29,500.0,0.0,18
19,12000,12100722552882805080,-84.87,500,0,-83.38,500.0,0.0,19
20,12000,5422312673772011359,-91.17,500,0,-83.76,500.0,0.0,20
21,12000,15003482508471731330,-82.56,500,0,-83.71,500.0,0.0,21
22,12000,13234536202907338590,-122.19,500,0,-85.46,500.0,0.0,22
23,12000,18177451362958227695,-97.40,500,0,-85.98,500.0,0.0,23
24,12000,14776073749056768426,-63.62,500,0,-85.04,500.0,0.0,24
25,18000,15876696128150197177,-116.32,500,0,-86.30,500.0,0.0,25
26,18000,16643051670238393758,-135.30,500,0,-88.18,500.0,0.0,26
27,18000,13750942603707172542,-89.56,500,0,-88.23,500.0,0.0,27
