# Seed CSV: C:\Users\Aurick\Documents\COLLEGE\code\CS-Thesis-Model-Training\seeds\qrng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,13489725472828908841,-91.74,500,0,-91.74,500.0,0.0,1
2,6000,6171947649416591322,-84.50,500,0,-88.12,500.0,0.0,2
3,6000,15248021848742551826,-101.94,500,0,-92.73,500.0,0.0,3
4,6000,3024614475431424903,-110.53,500,0,-97.18,500.0,0.0,4
5,6000,8421032824675649285,-93.74,500,0,-96.49,500.0,0.0,5
6,6000,137743098416772409,-97.60,500,0,-96.67,500.0,0.0,6
7,6000,10825776799651039450,-96.84,500,0,-96.70,500.0,0.0,7
8,6000,6550599649586689508,-56.81,500,0,-91.71,500.0,0.0,8
9,6000,10673939618093821046,-103.03,500,0,-92.97,500.0,0.0,9
10,6000,3033551743436537089,-62.47,500,0,-89.92,500.0,0.0,10
11,6000,13100570903668117029,-81.88,500,0,-89.19,500.0,0.0,11
12,6000,13460545218872008355,-85.96,500,0,-88.92,500.0,0.0,12
13,12000,4535469543323143118,-118.71,500,0,-91.21,500.0,0.0,13
14,12000,7963437600900595466,-65.44,500,0,-89.37,500.0,0.0,14
15,12000,4613197450636686963,-84.39,500,0,-89.04,500.0,0.0,15
16,12000,13145616319605486461,-86.92,500,0,-88.90,500.0,0.0,16
17,12000,8732497094669464261,-76.56,500,0,-88.18,500.0,0.0,17
18,12000,10754664279746954151,-80.87,500,0,-87.77,500.0,0.0,18
19,12000,7305357861771059007,-104.89,500,0,-88.67,500.0,0.0,19
20,12000,6001182031169597924,-87.16,500,0,-88.60,500.0,0.0,20
21,12000,1043968853803077998,-77.73,500,0,-88.08,500.0,0.0,21
22,12000,3431877959751719732,-102.75,500,0,-88.75,500.0,0.0,22
23,12000,4858779513777518555,-92.80,500,0,-88.92,500.0,0.0,23
24,12000,12934048555403895870,-106.73,500,0,-89.66,500.0,0.0,24
25,18000,16112388300639988501,-57.65,500,0,-88.38,500.0,0.0,25
26,18000,15336730116398655285,-34.49,500,0,-86.31,500.0,0.0,26
27,18000,17875627648110973066,-79.77,500,0,-86.07,500.0,0.0,27
28,18000,7127552978843871313,-82.48,500,0,-85.94,500.0,0.0,28
29,18000,4510579620332624255,-71.80,500,0,-85.45,500.0,0.0,29
30,18000,4529180109597153941,-75.14,500,0,-85.11,500.0,0.0,30
31,18000,3158158378977722743,-40.23,500,0,-83.66,500.0,0.0,31
32,18000,6487450829014363214,-57.72,500,0,-82.85,500.0,0.0,32
33,18000,12396094131003682828,-106.63,500,0,-83.57,500.0,0.0,33
34,18000,17610203196594821702,-72.28,500,0,-83.24,500.0,0.0,34
35,18000,11235206640686777757,-96.35,500,0,-83.61,500.0,0.0,35
36,18000,811813770382393753,-80.75,500,0,-83.53,500.0,0.0,36
37,24000,14446539011501570785,-60.11,500,0,-82.90,500.0,0.0,37
38,24000,1623035611873735355,-81.13,500,0,-82.85,500.0,0.0,38
39,24000,3677812005404074580,-101.31,500,0,-83.33,500.0,0.0,39
40,24000,4162563293777859714,-103.70,500,0,-83.84,500.0,0.0,40
41,24000,13970664724812757927,-122.81,500,0,-84.79,500.0,0.0,41
42,24000,5795407478338048581,-90.02,500,0,-84.91,500.0,0.0,42
43,24000,5438062045018060513,-118.23,500,0,-85.69,500.0,0.0,43
44,24000,9186765785496463054,-129.16,500,0,-86.67,500.0,0.0,44
45,24000,15528842599978318346,-116.65,500,0,-87.34,500.0,0.0,45
