# Seed CSV: prng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,971695362467996196,-55.53,500,0,-55.53,500.0,0.0,1
2,6000,4722055102353018575,-67.92,500,0,-61.72,500.0,0.0,2
3,6000,9416705256328773456,-84.06,500,0,-69.17,500.0,0.0,3
4,6000,18209816042987392921,-79.59,500,0,-71.77,500.0,0.0,4
5,6000,12249684362543296198,-130.74,500,0,-83.56,500.0,0.0,5
6,6000,18439256158492860165,-63.12,500,0,-80.16,500.0,0.0,6
7,6000,3434422392642176074,-96.18,500,0,-82.45,500.0,0.0,7
8,6000,5935988960942181436,-132.97,500,0,-88.76,500.0,0.0,8
9,6000,13288998900360654768,-117.41,500,0,-91.94,500.0,0.0,9
10,6000,6485551435170465117,-79.47,500,0,-90.70,500.0,0.0,10
11,6000,7222146671798848202,-102.21,500,0,-91.74,500.0,0.0,11
12,6000,1925203196787626386,-68.40,500,0,-89.80,500.0,0.0,12
13,12000,12791249090344812902,-88.93,500,0,-89.73,500.0,0.0,13
14,12000,16271330311358250483,-101.01,500,0,-90.54,500.0,0.0,14
15,12000,16216597592657657882,-81.41,500,0,-89.93,500.0,0.0,15
16,12000,15166214502129994831,-21.14,500,0,-85.63,500.0,0.0,16
17,12000,3950739390256855190,-98.44,500,0,-86.38,500.0,0.0,17
18,12000,15572436679927626994,-86.93,500,0,-86.41,500.0,0.0,18
19,12000,12100722552882805080,-114.06,500,0,-87.87,500.0,0.0,19
20,12000,5422312673772011359,-121.71,500,0,-89.56,500.0,0.0,20
21,12000,15003482508471731330,-99.12,500,0,-90.01,500.0,0.0,21
22,12000,13234536202907338590,-68.16,500,0,-89.02,500.0,0.0,22
23,12000,18177451362958227695,-116.06,500,0,-90.20,500.0,0.0,23
24,12000,14776073749056768426,-78.36,500,0,-89.70,500.0,0.0,24
25,18000,15876696128150197177,-95.25,500,0,-89.92,500.0,0.0,25
26,18000,16643051670238393758,-85.88,500,0,-89.77,500.0,0.0,26
27,18000,13750942603707172542,-94.77,500,0,-89.95,500.0,0.0,27
28,18000,8323620824426157167,-112.30,500,0,-90.75,500.0,0.0,28
29,18000,12974784844508741856,-71.94,500,0,-90.10,500.0,0.0,29
30,18000,3946675017130034155,-90.37,500,0,-90.11,500.0,0.0,30
31,18000,10235953528359856589,-66.98,500,0,-89.37,500.0,0.0,31
32,18000,13148765069588439864,-94.08,500,0,-89.51,500.0,0.0,32
33,18000,7831641672757584953,-85.74,500,0,-89.40,500.0,0.0,33
34,18000,7530588993633936101,-72.35,500,0,-88.90,500.0,0.0,34
35,18000,8586445825670029330,-105.24,500,0,-89.36,500.0,0.0,35
36,18000,4008522060595671513,-89.30,500,0,-89.36,500.0,0.0,36
37,24000,16758003372029569070,-75.23,500,0,-88.98,500.0,0.0,37
38,24000,7123441938980902944,-84.98,500,0,-88.87,500.0,0.0,38
39,24000,1123201832056615056,-122.05,500,0,-89.73,500.0,0.0,39
40,24000,9827564118592775222,-58.95,500,0,-88.96,500.0,0.0,40
