# Seed CSV: qrng_seeds.csv
# NOTE: Train 19 - Each environment uses unique/offset mazes in parallel

episode,timestep,maze_seed,reward,length,success,avg_reward_100,avg_length_100,success_rate_100,unique_mazes_seen
1,6000,13489725472828908841,-104.84,500,0,-104.84,500.0,0.0,1
2,6000,6171947649416591322,-119.72,500,0,-112.28,500.0,0.0,2
3,6000,15248021848742551826,-135.22,500,0,-119.93,500.0,0.0,3
4,6000,3024614475431424903,-96.59,500,0,-114.09,500.0,0.0,4
5,6000,8421032824675649285,-63.94,500,0,-104.06,500.0,0.0,5
6,6000,137743098416772409,-89.86,500,0,-101.69,500.0,0.0,6
7,6000,10825776799651039450,-124.41,500,0,-104.94,500.0,0.0,7
8,6000,6550599649586689508,-66.26,500,0,-100.10,500.0,0.0,8
9,6000,10673939618093821046,-90.59,500,0,-99.05,500.0,0.0,9
10,6000,3033551743436537089,-109.54,500,0,-100.09,500.0,0.0,10
11,6000,13100570903668117029,-81.97,500,0,-98.45,500.0,0.0,11
12,6000,13460545218872008355,-69.21,500,0,-96.01,500.0,0.0,12
13,12000,4535469543323143118,-100.07,500,0,-96.32,500.0,0.0,13
14,12000,7963437600900595466,-83.58,500,0,-95.41,500.0,0.0,14
15,12000,4613197450636686963,-110.93,500,0,-96.45,500.0,0.0,15
16,12000,13145616319605486461,-118.29,500,0,-97.81,500.0,0.0,16
17,12000,8732497094669464261,-42.06,500,0,-94.53,500.0,0.0,17
18,12000,10754664279746954151,-80.17,500,0,-93.73,500.0,0.0,18
19,12000,7305357861771059007,-53.38,500,0,-91.61,500.0,0.0,19
20,12000,6001182031169597924,-64.84,500,0,-90.27,500.0,0.0,20
21,12000,1043968853803077998,-115.15,500,0,-91.46,500.0,0.0,21
22,12000,3431877959751719732,-114.42,500,0,-92.50,500.0,0.0,22
23,12000,4858779513777518555,-69.85,500,0,-91.51,500.0,0.0,23
24,12000,12934048555403895870,-113.05,500,0,-92.41,500.0,0.0,24
25,18000,16112388300639988501,-65.91,500,0,-91.35,500.0,0.0,25
26,18000,15336730116398655285,-37.77,500,0,-89.29,500.0,0.0,26
27,18000,17875627648110973066,-80.84,500,0,-88.98,500.0,0.0,27
28,18000,7127552978843871313,-73.53,500,0,-88.43,500.0,0.0,28
29,18000,4510579620332624255,-72.42,500,0,-87.87,500.0,0.0,29
30,18000,4529180109597153941,-77.94,500,0,-87.54,500.0,0.0,30
31,18000,3158158378977722743,-80.60,500,0,-87.32,500.0,0.0,31
32,18000,6487450829014363214,-124.32,500,0,-88.47,500.0,0.0,32
33,18000,12396094131003682828,-75.48,500,0,-88.08,500.0,0.0,33
34,18000,17610203196594821702,-109.89,500,0,-88.72,500.0,0.0,34
35,18000,11235206640686777757,-112.12,500,0,-89.39,500.0,0.0,35
36,18000,811813770382393753,-84.11,500,0,-89.24,500.0,0.0,36
37,24000,14446539011501570785,-92.84,500,0,-89.34,500.0,0.0,37
38,24000,1623035611873735355,-67.33,500,0,-88.76,500.0,0.0,38
39,24000,3677812005404074580,-76.69,500,0,-88.45,500.0,0.0,39
40,24000,4162563293777859714,-88.11,500,0,-88.44,500.0,0.0,40
41,24000,13970664724812757927,-92.79,500,0,-88.55,500.0,0.0,41
42,24000,5795407478338048581,-115.96,500,0,-89.20,500.0,0.0,42
43,24000,5438062045018060513,-69.96,500,0,-88.75,500.0,0.0,43
44,24000,9186765785496463054,-109.47,500,0,-89.23,500.0,0.0,44
45,24000,15528842599978318346,-68.73,500,0,-88.77,500.0,0.0,45
46,24000,12850146721234923910,-153.32,500,0,-90.17,500.0,0.0,46
47,24000,9889681733023020709,-104.05,500,0,-90.47,500.0,0.0,47
48,24000,9958069282142524715,-74.61,500,0,-90.14,500.0,0.0,48
49,30000,9564608022071936158,-47.74,500,0,-89.27,500.0,0.0,49
50,30000,18283032215131063166,-109.92,500,0,-89.69,500.0,0.0,50
51,30000,1179935533135775049,-40.44,500,0,-88.72,500.0,0.0,51
52,30000,9114864688611525715,-65.53,500,0,-88.27,500.0,0.0,52
53,30000,14904089564820360810,-42.50,500,0,-87.41,500.0,0.0,53
54,30000,17350772336963884912,-108.37,500,0,-87.80,500.0,0.0,54
55,30000,11050591303953411250,-28.64,500,0,-86.72,500.0,0.0,55
56,30000,7583682702758548915,-16.09,500,0,-85.46,500.0,0.0,56
57,30000,11452373918019542496,-80.58,500,0,-85.38,500.0,0.0,57
58,30000,3390217654545902577,-55.78,500,0,-84.87,500.0,0.0,58
59,30000,15241124315464294844,-88.58,500,0,-84.93,500.0,0.0,59
60,30000,7663922228771831772,-74.95,500,0,-84.76,500.0,0.0,60
61,36000,13453077023078328898,-84.92,500,0,-84.76,500.0,0.0,61
62,36000,4439031506494153421,-51.27,500,0,-84.22,500.0,0.0,62
63,36000,301641859563699251,-66.76,500,0,-83.95,500.0,0.0,63
64,36000,12655888713526143854,-54.47,500,0,-83.49,500.0,0.0,64
65,36000,9231693444609347206,-49.87,500,0,-82.97,500.0,0.0,65
66,36000,16548616157381596168,-11.78,500,0,-81.89,500.0,0.0,66
67,36000,9288755463338780292,-58.33,500,0,-81.54,500.0,0.0,67
68,36000,17206735167347108618,-61.26,500,0,-81.24,500.0,0.0,68
69,36000,10044960970903465745,-36.64,500,0,-80.59,500.0,0.0,69
70,36000,797241283643617672,-80.29,500,0,-80.59,500.0,0.0,70
71,36000,1282709819021874862,-76.30,500,0,-80.53,500.0,0.0,71
72,36000,14920185945280404569,-39.14,500,0,-79.96,500.0,0.0,72
73,42000,11715111405647041163,-62.60,500,0,-79.72,500.0,0.0,73
74,42000,5786622452813006661,-49.88,500,0,-79.31,500.0,0.0,74
75,42000,6032281748108558065,-89.26,500,0,-79.45,500.0,0.0,75
76,42000,3680395537014741509,-49.46,500,0,-79.05,500.0,0.0,76
77,42000,5254126035865485252,-14.57,500,0,-78.21,500.0,0.0,77
78,42000,5940738065481368527,-48.68,500,0,-77.84,500.0,0.0,78
79,42000,672863678865569649,-68.82,500,0,-77.72,500.0,0.0,79
